title,cast,director,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,sort_order
David Attenborough: A Life on Our Planet,David Attenborough,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",tm853783,MOVIE,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",2020,PG,83,['documentation'],['GB'],0.0,tt11989890,8.9,31625.0,15.935,8.5,2
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas",Christopher Nolan,tm92641,MOVIE,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010,PG-13,148,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",0.0,tt1375666,8.8,2294231.0,108.284,8.4,2
Bo Burnham: Inside,Bo Burnham,Bo Burnham,tm1038686,MOVIE,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",2021,R,87,"['comedy', 'drama', 'music', 'reality']",['US'],0.0,tt14544192,8.7,44074.0,11.434,8.2,2
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan",Martin Scorsese,tm27911,MOVIE,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006,R,151,"['drama', 'thriller', 'crime', 'action']",['US'],0.0,tt0407887,8.5,1296244.0,33.795,8.2,2
Harishchandrachi Factory,"Nandu Madhav, Vibhawari Deshpande, Ambarish Deshpande, Mohit Gokhale, Dilip Joglekar, Dheeresh Joshi, Ketan Karande, Atharva Karve, Mayur Khandge, Sandip Pathak",Paresh Mokashi,tm143510,MOVIE,The movie depicts efforts and struggle by Dadasaheb Falke for creating first motion picture in India - Raja Harishchandra.,2009,G,96,"['comedy', 'drama', 'history']",['IN'],0.0,tt1524539,8.4,2498.0,2.115,7.0,2
Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",Quentin Tarantino,tm41792,MOVIE,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,R,165,"['western', 'drama']",['US'],0.0,tt1853728,8.4,1472668.0,66.924,8.15,2
Black Friday,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",Anurag Kashyap,tm86051,MOVIE,"Bombs tear through Bombay, wreaking havoc and polarising the citizens. With perpetrators at large, the state launches a massive drive to unmask the truth behind these events.",2004,R,161,"['crime', 'history', 'action', 'drama']",['IN'],0.0,tt0400234,8.4,20768.0,5.753,7.4,2
Super Deluxe,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan, Mysskin, Gayathrie, Ashwanth Ashok Kumar, Bagavathi Perumal",Thiagarajan Kumararaja,tm283581,MOVIE,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",2019,NC-17,176,"['comedy', 'thriller', 'drama', 'action', 'crime']",['IN'],0.0,tt7822432,8.4,13680.0,7.084,7.8,2
Dave Chappelle: Sticks & Stones,Dave Chappelle,Stan Lathan,tm827142,MOVIE,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in this defiant stand-up special.",2019,R,65,['comedy'],['US'],0.0,tt10810424,8.4,26075.0,7.885,7.646,2
3 Idiots,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",Rajkumar Hirani,tm142564,MOVIE,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009,PG-13,170,"['drama', 'comedy']",['IN'],0.0,tt1187043,8.4,390739.0,44.999,8.0,2
